,date,power,temp
577,2018-05-10,58663,27.5
578,2018-05-11,58272,27.9
579,2018-05-12,51998,27.9
580,2018-05-13,47558,26.2
581,2018-05-14,58160,28.5
582,2018-05-15,61683,29.4
583,2018-05-16,65254,30.3
584,2018-05-17,66748,30.7
585,2018-05-18,64057,28.6
586,2018-05-19,58756,29.1
587,2018-05-20,56701,29.8
588,2018-05-21,62304,28.9
589,2018-05-22,62899,29.6
590,2018-05-23,64633,29.7
591,2018-05-24,66176,30.1
592,2018-05-25,68171,31.3
593,2018-05-26,65537,31.7
594,2018-05-27,54829,28.3
595,2018-05-28,52662,25.6
596,2018-05-29,56043,28.9
597,2018-05-30,60303,29.4
598,2018-05-31,62194,30.1
599,2018-06-01,58250,27.2
600,2018-06-02,54182,27.6
601,2018-06-03,52383,29.2
602,2018-06-04,61533,29.6
603,2018-06-05,58195,28.6
604,2018-06-06,63861,30.5
605,2018-06-07,69060,31.6
606,2018-06-08,70862,32.1
607,2018-06-09,63198,28.9
608,2018-06-10,56370,30.5
609,2018-06-11,62394,28.6
610,2018-06-12,64612,30.4
611,2018-06-13,67101,31.3
612,2018-06-14,68361,31.1
613,2018-06-15,59518,27.5
614,2018-06-16,56028,28.0
615,2018-06-17,50655,28.2
616,2018-06-18,62554,30.1
617,2018-06-19,67900,30.3
618,2018-06-20,69585,30.9
619,2018-06-21,70327,31.8
620,2018-06-22,75809,33.0
621,2018-06-23,71815,32.6
622,2018-06-24,63550,31.3
623,2018-06-25,64487,29.2
624,2018-06-26,61077,28.7
625,2018-06-27,55797,26.2
626,2018-06-28,59658,29.4
627,2018-06-29,66356,31.7
628,2018-06-30,68705,32.7
629,2018-07-01,69205,33.2
630,2018-07-02,80753,34.2
631,2018-07-03,83946,34.7
632,2018-07-04,85619,34.4
633,2018-07-05,87194,34.6
634,2018-07-06,85194,33.7
635,2018-07-07,70496,29.8
636,2018-07-08,56600,29.0
637,2018-07-09,62588,29.3
638,2018-07-10,61443,29.1
639,2018-07-11,64276,29.8
640,2018-07-12,69605,31.4
641,2018-07-13,65719,30.0
642,2018-07-14,56540,27.8
643,2018-07-15,48494,26.9
644,2018-07-16,54679,28.4
645,2018-07-17,55972,27.2
646,2018-07-18,56024,28.0
647,2018-07-19,54403,27.0
648,2018-07-20,53883,27.5
649,2018-07-21,48861,26.0
650,2018-07-22,49010,29.4
651,2018-07-23,60378,30.8
652,2018-07-24,62993,30.4
653,2018-07-25,61155,28.6
654,2018-07-26,57998,27.5
655,2018-07-27,54900,26.1
656,2018-07-28,51904,27.6
657,2018-07-29,48668,27.9
658,2018-07-30,55961,27.5
659,2018-07-31,56436,27.6
660,2018-08-01,56620,28.2
661,2018-08-02,57094,27.9
662,2018-08-03,57234,28.4
663,2018-08-04,52606,27.4
664,2018-08-05,47368,27.1
665,2018-08-06,56868,28.7
666,2018-08-07,58565,28.3
667,2018-08-08,60429,29.3
668,2018-08-09,60914,29.1
669,2018-08-10,62755,30.1
670,2018-08-11,62621,31.0
671,2018-08-12,55397,28.5
672,2018-08-13,64090,29.8
673,2018-08-14,68308,30.8
674,2018-08-15,61771,29.1
675,2018-08-16,57959,27.2
676,2018-08-17,55878,27.4
677,2018-08-18,52151,27.0
678,2018-08-19,51776,29.0
679,2018-08-20,63904,30.6
680,2018-08-21,64779,29.9
681,2018-08-22,64727,29.0
682,2018-08-23,65347,29.7
683,2018-08-24,63968,30.2
684,2018-08-25,58325,28.9
685,2018-08-26,56466,29.6
686,2018-08-27,64051,29.8
687,2018-08-28,57105,25.8
688,2018-08-29,53809,25.7
689,2018-08-30,53873,26.0
690,2018-08-31,56163,28.9
691,2018-09-01,52577,30.4
692,2018-09-02,43495,28.2
693,2018-09-03,44370,26.2
694,2018-09-04,56358,28.5
695,2018-09-05,62974,30.5
696,2018-09-06,67509,31.3
697,2018-09-07,65482,30.0
698,2018-09-08,54387,28.6
699,2018-09-09,49385,27.8
700,2018-09-10,55300,27.5
701,2018-09-11,57744,28.6
702,2018-09-12,59809,29.0
703,2018-09-13,60865,29.4
704,2018-09-14,58886,28.0
705,2018-09-15,57610,29.2
706,2018-09-16,57706,31.0
707,2018-09-17,59277,28.7
708,2018-09-18,55353,25.9
709,2018-09-19,54304,26.1
710,2018-09-20,57883,28.7
711,2018-09-21,59383,28.8
712,2018-09-22,57967,29.5
713,2018-09-23,54007,29.2
714,2018-09-24,61021,29.5
715,2018-09-25,63490,29.6
716,2018-09-26,62272,29.1
717,2018-09-27,56957,26.5
718,2018-09-28,51631,24.9
719,2018-09-29,49051,26.5
720,2018-09-30,46515,27.4
721,2018-10-01,53794,26.9
722,2018-10-02,55020,26.7
723,2018-10-03,55004,26.9
724,2018-10-04,55606,27.2
725,2018-10-05,55355,26.4
726,2018-10-06,52952,26.6
727,2018-10-07,49097,27.6
728,2018-10-08,55857,27.4
729,2018-10-09,57133,27.8
730,2018-10-10,48377,21.1
731,2018-10-11,47686,23.5
732,2018-10-12,48270,24.8
733,2018-10-13,46937,24.9
734,2018-10-14,45923,27.2
735,2018-10-15,55691,28.4
736,2018-10-16,49477,22.6
737,2018-10-17,47706,21.9
738,2018-10-18,47142,21.5
739,2018-10-19,47342,22.2
740,2018-10-20,46834,24.6
741,2018-10-21,46030,27.4
742,2018-10-22,52713,27.1
743,2018-10-23,51118,24.6
744,2018-10-24,49850,23.5
745,2018-10-25,53160,27.2
746,2018-10-26,53631,27.4
747,2018-10-27,46725,24.9
748,2018-10-28,43398,25.0
749,2018-10-29,49956,26.0
750,2018-10-30,50784,25.5
751,2018-10-31,49662,25.4
752,2018-11-01,48657,23.5
753,2018-11-02,48208,22.8
754,2018-11-03,46537,22.9
755,2018-11-04,43556,23.9
756,2018-11-05,50236,25.6
757,2018-11-06,52181,26.3
758,2018-11-07,52976,26.8
759,2018-11-08,49741,24.6
760,2018-11-09,47834,22.0
761,2018-11-10,45564,22.5
762,2018-11-11,43347,24.3
763,2018-11-12,48496,23.9
